NAME,SKU,CATEGORY,PRICE,BRAND,DESCRIPTION
Product KB911032-RG,KB911032-RG,BATH AND SHOWER MIXER,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Per Piece `,625,ACCESSORIES,625,Price,Extracted from Price List 2026.pdf
Product KB911004-RG,KB911004-RG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911023-CG,KB911023-CG,WITHOUT POP-UP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911001-CG,KB911001-CG,PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911002-CG,KB911002-CG,PILLAR TAP,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
"Per Piece ` 2,",025,BATH ACCESSORIES,2025,Price,Extracted from Price List 2026.pdf
Product KB911036-CG,KB911036-CG,CHIME,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911037-CG,KB911037-CG,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911016-CG,KB911016-CG,SINGLE LEVER DIVERTER TRIMS,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911017-CG,KB911017-CG,DIVERTER & FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911056-CG,KB911056-CG,DIVERTER & FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911004-CG,KB911004-CG,(SHOWER & SPOUT),0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911003-CG,KB911003-CG,BIB TAP WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
Product KB911032-CG,KB911032-CG,ANGLE VALVE WITH FLANGE,0,Aurum,Extracted from Aurum Price List Feb 2026- AIEK-1.pdf
